,Company_Name,Listing_date,Issue Price  ,listing_day_close_price,Listing_day_%change,current_price,gaain_%
15,Xelpmoc Design and Tech Limited,2019-02-04,66,59.85,-9.32,399.05,504.62
16,Chalet Hotels Limited,2019-02-07,280,290.4,3.71,224.25,-19.91
14,MSTC Limited,2019-03-29,120,114.2,-4.83,348.3,190.25
13,Embassy Office Parks,2019-04-01,300,314.1,4.7,352.68,17.56
10,Rail Vikas Nigam Limited,2019-04-11,19,19.05,0.26,35.2,85.26
12,Metropolis Healthcare Limited,2019-04-15,880,959.55,9.04,3333.9,278.85
11,Polycab India Limited,2019-04-16,538,655.0,21.75,2439.55,353.45
9,Neogen Chemicals Limited,2019-05-08,215,263.55,22.58,1837.5,754.65
8,IndiaMART InterMESH Limited,2019-07-04,973,1302.55,33.87,6569.7,575.2
7,Affle (India,2019-08-08,745,875.1,17.46,1333.95,795.27
6,Spandana Sphoorty Financial Ltd,2019-08-19,856,848.4,-0.89,401.65,-53.08
5,Sterling and Wilson Solar Ltd,2019-08-20,780,725.35,-7.01,377.45,-51.61
3,IRCTC Limited,2019-10-14,320,728.6,127.69,843.15,1217.42
4,Vishwaraj Sugar Industries Ltd,2019-10-15,60,60.35,0.58,27.05,125.42
2,CSB Bank Limited,2019-12-04,195,300.1,53.9,253.3,29.9
1,Ujjivan Small Finance Bank Ltd,2019-12-12,37,55.9,51.08,19.9,-46.22
0,Prince Pipes and Fittings Ltd,2019-12-30,178,166.6,-6.4,699.1,292.75
15,SBI Cards and Payment Services Ltd,2020-03-16,755,683.2,-9.51,932.7,23.54
13,Rossari Biotech Ltd,2020-07-23,425,742.35,74.67,1274.55,199.89
12,Yes Bank Ltd,2020-07-27,12,12.3,2.5,14.24,18.67
11,Mindspace Business Parks,2020-08-07,275,303.87,10.5,327.98,19.27
8,Happiest Minds Technologies Ltd,2020-09-17,166,371.0,123.49,1299.15,682.62
6,Route Mobile Ltd,2020-09-21,350,651.1,86.03,1776.35,407.53
5,Chemcon Speciality Chemicals Limited,2020-10-01,340,584.8,72.0,366.25,7.72
9,Computer Age Management Services Ltd,2020-10-01,1230,1401.6,13.95,2783.9,126.33
7,Angel Broking Ltd,2020-10-05,306,275.85,-9.85,1266.3,313.82
3,Mazagon Dock Shipbuilders Limited,2020-10-12,145,173.0,19.31,279.5,92.76
10,UTI Asset Management Company Ltd,2020-10-12,554,476.6,-13.97,1084.05,95.68
4,Likhitha Infrastructure Ltd,2020-10-15,120,136.6,13.83,348.7,190.58
14,Equitas Small Finance Bank Ltd,2020-11-02,33,32.75,-0.76,59.3,79.7
2,Gland Pharma Limited,2020-11-20,1500,1820.45,21.36,3955.85,163.72
1,Burger King India Limited,2020-12-14,60,138.4,130.67,138.75,131.25
0,Mrs. Bectors Food Specialities Limited,2020-12-24,288,595.55,106.79,378.5,31.42
63,Antony Waste Handling Cell Limited,2021-01-01,315,407.25,29.29,318.7,1.17
64,Indian Railway Finance Corporation Limited,2021-01-29,26,24.85,-4.42,22.85,-12.12
62,Indigo Paints Limited,2021-02-02,1490,3118.65,109.31,2046.6,37.36
61,Home First Finance Company India Ltd.,2021-02-03,518,527.4,1.81,789.35,52.38
60,Stove Kraft Limited,2021-02-05,385,445.95,15.83,982.35,155.16
59,Brookfield India Real Estate Trust,2021-02-16,275,269.96,-1.83,294.27,7.01
58,Nureca Limited,2021-02-25,400,666.65,66.66,1949.6,387.4
65,RailTel Corporation of India Limited,2021-02-26,94,121.4,29.15,119.55,27.18
57,Heranba Industries Limited,2021-03-05,627,812.25,29.55,658.75,5.06
56,MTAR Technologies Limited,2021-03-15,575,1082.25,88.22,2370.25,312.22
55,Easy Trip Planners Limited,2021-03-19,187,208.3,11.39,536.55,186.93
51,Anupam Rasayan India Limited,2021-03-24,555,525.9,-5.24,1021.2,84.0
53,Craftsman Automation Limited,2021-03-25,1490,1433.0,-3.83,2320.7,55.75
52,Laxmi Organic Industries Limited,2021-03-25,130,164.6,26.62,434.25,234.04
49,Suryoday Small Finance Bank Ltd,2021-03-26,305,276.2,-9.44,145.25,-52.38
50,Kalyan Jewellers India Limited,2021-03-26,87,75.3,-13.45,71.8,-17.47
54,Nazara Technologies Limited,2021-03-30,1101,1576.8,43.22,2425.3,120.28
48,Barbeque Nation Hospitality Limited,2021-04-07,500,590.4,18.08,1404.25,180.85
47,Macrotech Developers Limited,2021-04-19,486,463.15,-4.7,1201.2,147.16
45,POWERGRID Infrastructure Investment Trust,2021-05-14,100,102.98,2.98,125.32,25.32
44,Sona BLW Precision Forgings Limited,2021-06-24,291,362.85,24.69,732.15,151.6
46,Shyam Metalics and Energy Limited,2021-06-24,306,375.85,22.83,344.45,12.57
42,Krishna Institute of Medical Sciences Limited,2021-06-28,825,995.9,20.72,,74.6
43,Dodla Dairy Limited,2021-06-28,428,609.1,42.31,552.95,29.19
41,India Pesticides Limited,2021-07-05,296,343.15,15.93,319.75,8.02
40,G R Infraprojects Limited,2021-07-19,837,1746.8,108.7,1742.75,108.21
39,Clean Science and Technology Ltd,2021-07-19,900,1585.2,76.13,2621.9,191.32
37,Zomato Limited,2021-07-23,76,125.85,65.59,130.1,71.18
36,Tatva Chintan Pharma Chem Ltd,2021-07-29,1083,2310.25,113.32,2629.0,142.75
38,Glenmark Life Sciences Limited,2021-08-06,720,748.2,3.92,609.5,-15.35
34,Rolex Rings Limited,2021-08-09,900,1166.55,29.62,1204.75,33.86
30,Devyani International Limited,2021-08-16,90,123.35,37.06,173.85,93.17
31,Windlas Biotech Limited,2021-08-16,460,406.7,-11.59,271.9,-40.89
32,Exxaro Tiles Limited,2021-08-16,120,132.25,10.21,140.9,17.42
28,Krsnaa Diagnostics Limited,2021-08-16,954,990.75,3.85,766.55,-19.65
29,CarTrade Tech Limited,2021-08-20,1618,1500.1,-7.29,830.8,-48.65
33,Nuvoco Vistas Corporation Ltd,2021-08-23,570,531.3,-6.79,490.45,-13.96
26,Chemplast Sanmar Limited,2021-08-24,541,534.9,-1.13,610.0,12.75
27,Aptus Value Housing Finance India Ltd,2021-08-24,353,346.5,-1.84,358.85,1.66
25,Ami Organics Limited,2021-09-14,610,934.55,53.2,1071.55,75.66
24,Vijaya Diagnostic Centre Limited,2021-09-14,531,619.3,16.63,568.45,7.05
23,Sansera Engineering Limited,2021-09-24,744,818.7,10.04,765.05,2.83
21,Paras Defence And Space Technologies Limited,2021-10-01,175,498.75,185.0,726.4,315.09
22,Aditya Birla Sun Life AMC Ltd,2021-10-11,712,699.65,-1.73,552.65,-22.38
18,FSN E-Commerce Ventures Limited,2021-11-10,1125,2206.7,96.15,2002.85,78.03
20,Fino Payments Bank Limited,2021-11-12,577,545.25,-5.5,417.8,-27.59
16,Sigachi Industries Limited,2021-11-15,163,603.75,270.4,382.1,134.42
19,S.J.S. Enterprises Limited,2021-11-15,542,509.85,-5.93,361.55,-33.29
17,PB Fintech Limited,2021-11-15,980,1202.9,22.74,890.5,-9.13
35,One 97 Communications Limited,2021-11-18,2150,1564.15,-27.25,1253.9,-41.68
15,Sapphire Foods India Limited,2021-11-18,1180,1216.05,3.06,1242.6,5.31
14,Latent View Analytics Limited,2021-11-23,197,488.6,148.02,542.9,175.58
13,Tarsons Products Limited,2021-11-26,662,840.0,26.89,647.95,-2.12
12,Go Fashion (India,2021-11-30,690,1252.6,81.54,1046.45,51.66
11,Star Health and Allied Insurance Company Ltd,2021-12-10,900,906.85,0.76,780.4,-13.29
10,Tega Industries Limited,2021-12-13,453,725.5,60.15,592.15,30.72
9,Anand Rathi Wealth Limited,2021-12-14,550,583.5,6.09,635.9,15.62
7,Rategain Travel Technologies Limited,2021-12-17,425,340.5,-19.88,380.1,-10.56
5,Shriram Properties Limited,2021-12-20,118,99.4,-15.76,86.0,-27.12
8,C.E. Info systems limited,2021-12-21,1033,1394.55,35.0,1724.8,66.97
4,Metro Brands Limited,2021-12-22,500,493.55,-1.29,455.2,-8.96
2,Medplus Health Services Limited,2021-12-23,796,1120.85,40.81,1017.4,27.81
6,Data Patterns (India,2021-12-24,585,754.85,29.03,761.25,30.13
3,HP Adhesives Limited,2021-12-27,274,334.95,22.24,447.6,63.36
1,Supriya Lifescience Limited,2021-12-28,274,390.35,42.46,487.2,77.81
0,CMS Info Systems Limited,2021-12-31,216,237.4,9.91,255.85,18.45
